Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do;jsessionid=A41F814374A17B893E6A6E7E57B7A722?SERIES_KEY=120.EXR.D.E5.EUR.EN00.A&start=04-01-2009&end=07-12-2021&submitOptions.x=0&submitOptions.y=0&trans=N
,EXR.D.E5.EUR.EN00.A
,"ECB Nominal effective exch. rate of the Euro against, EER-19 group of trading partners: AU,CA,DK,HK,JP,NO,SG,KR,SE,CH,GB,US,EA and BG,CZ,HU,PL,RO,CN,HR excluding the Euro"
Collection:,Average of observations through period (A)
Period\Unit:,[99Q1=100]
2018-12-13,99.1745,Normal value (A)
2018-12-12,99.1818,Normal value (A)
2018-12-11,99.3089,Normal value (A)
2018-12-10,99.5528,Normal value (A)
2018-12-09,-,Missing value; data cannot exist (M)
2018-12-08,-,Missing value; data cannot exist (M)
2018-12-07,99.0178,Normal value (A)
2018-12-06,98.9239,Normal value (A)
2018-12-05,98.7645,Normal value (A)
2018-12-04,98.9586,Normal value (A)
2018-12-03,98.8125,Normal value (A)
2018-12-02,-,Missing value; data cannot exist (M)
2018-12-01,-,Missing value; data cannot exist (M)
2018-11-30,99.2034,Normal value (A)
2018-11-29,99.2975,Normal value (A)
2018-11-28,98.7304,Normal value (A)
2018-11-27,99.0047,Normal value (A)
2018-11-26,99.0791,Normal value (A)
2018-11-25,-,Missing value; data cannot exist (M)
2018-11-24,-,Missing value; data cannot exist (M)
2018-11-23,99.0500,Normal value (A)
2018-11-22,99.2908,Normal value (A)
2018-11-21,99.4221,Normal value (A)
2018-11-20,99.4390,Normal value (A)
2018-11-19,99.5442,Normal value (A)
2018-11-18,-,Missing value; data cannot exist (M)
2018-11-17,-,Missing value; data cannot exist (M)
2018-11-16,99.0929,Normal value (A)
2018-11-15,98.8167,Normal value (A)
2018-11-14,98.6475,Normal value (A)
2018-11-13,98.4588,Normal value (A)
2018-11-12,98.5922,Normal value (A)
2018-11-11,-,Missing value; data cannot exist (M)
2018-11-10,-,Missing value; data cannot exist (M)
2018-11-09,98.8198,Normal value (A)
2018-11-08,99.1029,Normal value (A)
2018-11-07,99.3972,Normal value (A)
2018-11-06,99.1706,Normal value (A)
2018-11-05,98.9877,Normal value (A)
2018-11-04,-,Missing value; data cannot exist (M)
2018-11-03,-,Missing value; data cannot exist (M)
2018-11-02,99.1097,Normal value (A)
2018-11-01,99.2420,Normal value (A)
2018-10-31,99.2535,Normal value (A)
2018-10-30,99.4751,Normal value (A)
2018-10-29,99.3738,Normal value (A)
2018-10-28,-,Missing value; data cannot exist (M)
2018-10-27,-,Missing value; data cannot exist (M)
2018-10-26,99.1633,Normal value (A)
2018-10-25,99.4183,Normal value (A)
2018-10-24,99.2128,Normal value (A)
2018-10-23,99.5855,Normal value (A)
2018-10-22,99.7392,Normal value (A)
2018-10-21,-,Missing value; data cannot exist (M)
2018-10-20,-,Missing value; data cannot exist (M)
2018-10-19,99.4944,Normal value (A)
2018-10-18,99.6728,Normal value (A)
2018-10-17,99.7106,Normal value (A)
2018-10-16,99.8251,Normal value (A)
2018-10-15,99.9480,Normal value (A)
2018-10-14,-,Missing value; data cannot exist (M)
2018-10-13,-,Missing value; data cannot exist (M)
2018-10-12,99.8741,Normal value (A)
2018-10-11,99.9364,Normal value (A)
2018-10-10,99.6331,Normal value (A)
2018-10-09,99.3808,Normal value (A)
2018-10-08,99.6220,Normal value (A)
2018-10-07,-,Missing value; data cannot exist (M)
2018-10-06,-,Missing value; data cannot exist (M)
2018-10-05,99.6315,Normal value (A)
2018-10-04,99.6585,Normal value (A)
2018-10-03,99.8212,Normal value (A)
2018-10-02,99.7745,Normal value (A)
2018-10-01,100.0285,Normal value (A)
2018-09-30,-,Missing value; data cannot exist (M)
2018-09-29,-,Missing value; data cannot exist (M)
2018-09-28,99.7992,Normal value (A)
2018-09-27,100.4498,Normal value (A)
2018-09-26,100.5941,Normal value (A)
2018-09-25,100.8460,Normal value (A)
2018-09-24,100.7224,Normal value (A)
2018-09-23,-,Missing value; data cannot exist (M)
2018-09-22,-,Missing value; data cannot exist (M)
2018-09-21,100.5588,Normal value (A)
2018-09-20,100.5001,Normal value (A)
2018-09-19,100.1311,Normal value (A)
2018-09-18,100.3234,Normal value (A)
2018-09-17,100.1992,Normal value (A)
2018-09-16,-,Missing value; data cannot exist (M)
2018-09-15,-,Missing value; data cannot exist (M)
2018-09-14,100.3572,Normal value (A)
2018-09-13,99.9567,Normal value (A)
2018-09-12,99.9481,Normal value (A)
2018-09-11,99.9197,Normal value (A)
2018-09-10,99.9391,Normal value (A)
2018-09-09,-,Missing value; data cannot exist (M)
2018-09-08,-,Missing value; data cannot exist (M)
2018-09-07,100.0158,Normal value (A)
2018-09-06,100.2820,Normal value (A)
2018-09-05,100.1669,Normal value (A)
2018-09-04,99.9673,Normal value (A)
2018-09-03,100.1057,Normal value (A)
2018-09-02,-,Missing value; data cannot exist (M)
2018-09-01,-,Missing value; data cannot exist (M)
2018-08-31,100.2684,Normal value (A)
2018-08-30,100.4672,Normal value (A)
2018-08-29,100.4749,Normal value (A)
2018-08-28,100.5902,Normal value (A)
2018-08-27,100.2786,Normal value (A)
2018-08-26,-,Missing value; data cannot exist (M)
2018-08-25,-,Missing value; data cannot exist (M)
2018-08-24,100.1140,Normal value (A)
2018-08-23,100.0483,Normal value (A)
2018-08-22,100.0928,Normal value (A)
2018-08-21,99.6010,Normal value (A)
2018-08-20,99.2275,Normal value (A)
2018-08-19,-,Missing value; data cannot exist (M)
2018-08-18,-,Missing value; data cannot exist (M)
2018-08-17,99.1975,Normal value (A)
2018-08-16,99.1112,Normal value (A)
2018-08-15,98.8924,Normal value (A)
2018-08-14,99.1015,Normal value (A)
2018-08-13,99.1694,Normal value (A)
2018-08-12,-,Missing value; data cannot exist (M)
2018-08-11,-,Missing value; data cannot exist (M)
2018-08-10,99.3718,Normal value (A)
2018-08-09,99.9103,Normal value (A)
2018-08-08,99.9568,Normal value (A)
2018-08-07,99.8215,Normal value (A)
2018-08-06,99.6628,Normal value (A)
2018-08-05,-,Missing value; data cannot exist (M)
2018-08-04,-,Missing value; data cannot exist (M)
2018-08-03,99.7833,Normal value (A)
2018-08-02,100.0082,Normal value (A)
2018-08-01,100.2007,Normal value (A)
2018-07-31,100.4697,Normal value (A)
2018-07-30,100.1909,Normal value (A)
2018-07-29,-,Missing value; data cannot exist (M)
2018-07-28,-,Missing value; data cannot exist (M)
2018-07-27,99.9848,Normal value (A)
2018-07-26,100.2498,Normal value (A)
2018-07-25,100.1426,Normal value (A)
2018-07-24,100.4713,Normal value (A)
2018-07-23,100.5193,Normal value (A)
2018-07-22,-,Missing value; data cannot exist (M)
2018-07-21,-,Missing value; data cannot exist (M)
2018-07-20,100.4722,Normal value (A)
2018-07-19,100.1205,Normal value (A)
2018-07-18,99.9204,Normal value (A)
2018-07-17,100.1534,Normal value (A)
2018-07-16,100.1158,Normal value (A)
2018-07-15,-,Missing value; data cannot exist (M)
2018-07-14,-,Missing value; data cannot exist (M)
2018-07-13,99.9892,Normal value (A)
2018-07-12,99.8753,Normal value (A)
2018-07-11,100.1721,Normal value (A)
2018-07-10,99.8940,Normal value (A)
2018-07-09,100.0743,Normal value (A)
2018-07-08,-,Missing value; data cannot exist (M)
2018-07-07,-,Missing value; data cannot exist (M)
2018-07-06,100.0787,Normal value (A)
2018-07-05,99.8712,Normal value (A)
2018-07-04,99.5727,Normal value (A)
2018-07-03,99.8125,Normal value (A)
2018-07-02,99.9000,Normal value (A)
2018-07-01,-,Missing value; data cannot exist (M)
2018-06-30,-,Missing value; data cannot exist (M)
2018-06-29,99.8194,Normal value (A)
2018-06-28,99.4411,Normal value (A)
2018-06-27,99.3135,Normal value (A)
2018-06-26,99.5023,Normal value (A)
2018-06-25,99.4861,Normal value (A)
2018-06-24,-,Missing value; data cannot exist (M)
2018-06-23,-,Missing value; data cannot exist (M)
2018-06-22,98.9865,Normal value (A)
2018-06-21,98.5193,Normal value (A)
2018-06-20,98.6501,Normal value (A)
2018-06-19,98.4637,Normal value (A)
2018-06-18,98.5687,Normal value (A)
2018-06-17,-,Missing value; data cannot exist (M)
2018-06-16,-,Missing value; data cannot exist (M)
2018-06-15,98.3398,Normal value (A)
2018-06-14,98.7629,Normal value (A)
2018-06-13,99.0746,Normal value (A)
2018-06-12,99.1467,Normal value (A)
2018-06-11,99.1941,Normal value (A)
2018-06-10,-,Missing value; data cannot exist (M)
2018-06-09,-,Missing value; data cannot exist (M)
2018-06-08,98.9455,Normal value (A)
2018-06-07,99.2503,Normal value (A)
2018-06-06,98.9139,Normal value (A)
2018-06-05,98.4439,Normal value (A)
2018-06-04,98.7546,Normal value (A)
2018-06-03,-,Missing value; data cannot exist (M)
2018-06-02,-,Missing value; data cannot exist (M)
2018-06-01,98.6347,Normal value (A)
2018-05-31,98.6487,Normal value (A)
2018-05-30,98.4068,Normal value (A)
2018-05-29,98.0654,Normal value (A)
2018-05-28,98.3882,Normal value (A)
2018-05-27,-,Missing value; data cannot exist (M)
2018-05-26,-,Missing value; data cannot exist (M)
2018-05-25,98.5276,Normal value (A)
2018-05-24,98.7536,Normal value (A)
2018-05-23,98.8214,Normal value (A)
2018-05-22,99.0706,Normal value (A)
2018-05-21,99.1133,Normal value (A)
2018-05-20,-,Missing value; data cannot exist (M)
2018-05-19,-,Missing value; data cannot exist (M)
2018-05-18,99.0880,Normal value (A)
2018-05-17,99.1478,Normal value (A)
2018-05-16,99.0771,Normal value (A)
2018-05-15,99.5899,Normal value (A)
2018-05-14,99.9419,Normal value (A)
2018-05-13,-,Missing value; data cannot exist (M)
2018-05-12,-,Missing value; data cannot exist (M)
2018-05-11,99.5963,Normal value (A)
2018-05-10,99.3872,Normal value (A)
2018-05-09,99.4837,Normal value (A)
2018-05-08,99.5881,Normal value (A)
2018-05-07,99.7643,Normal value (A)
2018-05-06,-,Missing value; data cannot exist (M)
2018-05-05,-,Missing value; data cannot exist (M)
2018-05-04,100.0343,Normal value (A)
2018-05-03,100.1484,Normal value (A)
2018-05-02,100.2815,Normal value (A)
2018-05-01,-,Missing value; data cannot exist (M)
2018-04-30,100.3470,Normal value (A)
2018-04-29,-,Missing value; data cannot exist (M)
2018-04-28,-,Missing value; data cannot exist (M)
2018-04-27,100.2301,Normal value (A)
2018-04-26,100.5302,Normal value (A)
2018-04-25,100.6586,Normal value (A)
2018-04-24,100.5873,Normal value (A)
2018-04-23,100.6611,Normal value (A)
2018-04-22,-,Missing value; data cannot exist (M)
2018-04-21,-,Missing value; data cannot exist (M)
2018-04-20,100.7820,Normal value (A)
2018-04-19,100.8809,Normal value (A)
2018-04-18,100.9661,Normal value (A)
2018-04-17,100.6203,Normal value (A)
2018-04-16,100.7327,Normal value (A)
2018-04-15,-,Missing value; data cannot exist (M)
2018-04-14,-,Missing value; data cannot exist (M)
2018-04-13,100.4939,Normal value (A)
2018-04-12,100.6135,Normal value (A)
2018-04-11,100.9311,Normal value (A)
2018-04-10,100.8020,Normal value (A)
2018-04-09,100.6538,Normal value (A)
2018-04-08,-,Missing value; data cannot exist (M)
2018-04-07,-,Missing value; data cannot exist (M)
2018-04-06,100.4038,Normal value (A)
2018-04-05,100.4729,Normal value (A)
2018-04-04,100.5614,Normal value (A)
2018-04-03,100.6049,Normal value (A)
2018-04-02,-,Missing value; data cannot exist (M)
2018-04-01,-,Missing value; data cannot exist (M)
2018-03-31,-,Missing value; data cannot exist (M)
2018-03-30,-,Missing value; data cannot exist (M)
2018-03-29,100.7258,Normal value (A)
2018-03-28,101.0741,Normal value (A)
2018-03-27,100.9916,Normal value (A)
2018-03-26,100.9734,Normal value (A)
2018-03-25,-,Missing value; data cannot exist (M)
2018-03-24,-,Missing value; data cannot exist (M)
2018-03-23,100.7762,Normal value (A)
2018-03-22,100.6467,Normal value (A)
2018-03-21,100.6087,Normal value (A)
2018-03-20,100.6208,Normal value (A)
2018-03-19,100.7301,Normal value (A)
2018-03-18,-,Missing value; data cannot exist (M)
2018-03-17,-,Missing value; data cannot exist (M)
2018-03-16,100.7308,Normal value (A)
2018-03-15,100.8846,Normal value (A)
2018-03-14,101.0363,Normal value (A)
2018-03-13,101.1431,Normal value (A)
2018-03-12,100.8007,Normal value (A)
2018-03-11,-,Missing value; data cannot exist (M)
2018-03-10,-,Missing value; data cannot exist (M)
2018-03-09,100.8880,Normal value (A)
2018-03-08,101.5680,Normal value (A)
2018-03-07,101.4418,Normal value (A)
2018-03-06,101.2881,Normal value (A)
2018-03-05,100.8816,Normal value (A)
2018-03-04,-,Missing value; data cannot exist (M)
2018-03-03,-,Missing value; data cannot exist (M)
2018-03-02,100.9346,Normal value (A)
2018-03-01,100.2675,Normal value (A)
2018-02-28,100.3114,Normal value (A)
2018-02-27,100.5920,Normal value (A)
2018-02-26,100.5147,Normal value (A)
2018-02-25,-,Missing value; data cannot exist (M)
2018-02-24,-,Missing value; data cannot exist (M)
2018-02-23,100.5179,Normal value (A)
2018-02-22,100.5934,Normal value (A)
2018-02-21,100.6838,Normal value (A)
2018-02-20,100.6813,Normal value (A)
2018-02-19,100.9455,Normal value (A)
2018-02-18,-,Missing value; data cannot exist (M)
2018-02-17,-,Missing value; data cannot exist (M)
2018-02-16,101.2070,Normal value (A)
2018-02-15,101.3486,Normal value (A)
2018-02-14,100.9186,Normal value (A)
2018-02-13,100.9030,Normal value (A)
2018-02-12,100.5060,Normal value (A)
2018-02-11,-,Missing value; data cannot exist (M)
2018-02-10,-,Missing value; data cannot exist (M)
2018-02-09,100.5797,Normal value (A)
2018-02-08,100.3225,Normal value (A)
2018-02-07,100.6624,Normal value (A)
2018-02-06,100.7080,Normal value (A)
2018-02-05,101.0912,Normal value (A)
2018-02-04,-,Missing value; data cannot exist (M)
2018-02-03,-,Missing value; data cannot exist (M)
2018-02-02,101.1309,Normal value (A)
2018-02-01,100.9284,Normal value (A)
2018-01-31,100.8855,Normal value (A)
2018-01-30,100.8343,Normal value (A)
2018-01-29,100.6515,Normal value (A)
2018-01-28,-,Missing value; data cannot exist (M)
2018-01-27,-,Missing value; data cannot exist (M)
2018-01-26,100.8491,Normal value (A)
2018-01-25,100.6990,Normal value (A)
2018-01-24,100.7073,Normal value (A)
2018-01-23,100.6702,Normal value (A)
2018-01-22,100.6394,Normal value (A)
2018-01-21,-,Missing value; data cannot exist (M)
2018-01-20,-,Missing value; data cannot exist (M)
2018-01-19,100.7277,Normal value (A)
2018-01-18,100.6616,Normal value (A)
2018-01-17,100.6593,Normal value (A)
2018-01-16,100.8451,Normal value (A)
2018-01-15,101.0628,Normal value (A)
2018-01-14,-,Missing value; data cannot exist (M)
2018-01-13,-,Missing value; data cannot exist (M)
2018-01-12,100.5585,Normal value (A)
2018-01-11,100.1988,Normal value (A)
2018-01-10,100.0058,Normal value (A)
2018-01-09,99.7893,Normal value (A)
2018-01-08,99.8767,Normal value (A)
2018-01-07,-,Missing value; data cannot exist (M)
2018-01-06,-,Missing value; data cannot exist (M)
2018-01-05,100.2899,Normal value (A)
2018-01-04,100.3988,Normal value (A)
2018-01-03,100.1494,Normal value (A)
2018-01-02,100.3380,Normal value (A)
2018-01-01,-,Missing value; data cannot exist (M)
2017-12-31,-,Missing value; data cannot exist (M)
2017-12-30,-,Missing value; data cannot exist (M)
2017-12-29,100.1174,Normal value (A)
2017-12-28,100.0150,Normal value (A)
2017-12-27,100.0070,Normal value (A)
2017-12-26,-,Missing value; data cannot exist (M)
2017-12-25,-,Missing value; data cannot exist (M)
2017-12-24,-,Missing value; data cannot exist (M)
2017-12-23,-,Missing value; data cannot exist (M)
2017-12-22,99.9147,Normal value (A)
2017-12-21,100.0622,Normal value (A)
2017-12-20,99.8516,Normal value (A)
2017-12-19,99.8005,Normal value (A)
2017-12-18,99.6978,Normal value (A)
2017-12-17,-,Missing value; data cannot exist (M)
2017-12-16,-,Missing value; data cannot exist (M)
2017-12-15,99.7185,Normal value (A)
2017-12-14,99.9258,Normal value (A)
2017-12-13,99.4391,Normal value (A)
2017-12-12,99.5934,Normal value (A)
2017-12-11,99.8011,Normal value (A)
2017-12-10,-,Missing value; data cannot exist (M)
2017-12-09,-,Missing value; data cannot exist (M)
2017-12-08,99.4440,Normal value (A)
2017-12-07,99.7082,Normal value (A)
2017-12-06,99.7942,Normal value (A)
2017-12-05,99.8903,Normal value (A)
2017-12-04,99.8941,Normal value (A)
2017-12-03,-,Missing value; data cannot exist (M)
2017-12-02,-,Missing value; data cannot exist (M)
2017-12-01,100.0670,Normal value (A)
2017-11-30,99.8603,Normal value (A)
2017-11-29,99.6852,Normal value (A)
2017-11-28,100.1227,Normal value (A)
2017-11-27,100.4130,Normal value (A)
2017-11-26,-,Missing value; data cannot exist (M)
2017-11-25,-,Missing value; data cannot exist (M)
2017-11-24,99.9897,Normal value (A)
2017-11-23,99.7431,Normal value (A)
2017-11-22,99.4904,Normal value (A)
2017-11-21,99.4508,Normal value (A)
2017-11-20,99.8445,Normal value (A)
2017-11-19,-,Missing value; data cannot exist (M)
2017-11-18,-,Missing value; data cannot exist (M)
2017-11-17,100.0041,Normal value (A)
2017-11-16,99.8396,Normal value (A)
2017-11-15,100.3114,Normal value (A)
2017-11-14,99.8310,Normal value (A)
2017-11-13,99.2595,Normal value (A)
2017-11-12,-,Missing value; data cannot exist (M)
2017-11-11,-,Missing value; data cannot exist (M)
2017-11-10,99.1079,Normal value (A)
2017-11-09,99.0199,Normal value (A)
2017-11-08,98.7771,Normal value (A)
2017-11-07,98.6285,Normal value (A)
2017-11-06,98.8335,Normal value (A)
2017-11-05,-,Missing value; data cannot exist (M)
2017-11-04,-,Missing value; data cannot exist (M)
2017-11-03,99.2172,Normal value (A)
2017-11-02,99.0957,Normal value (A)
2017-11-01,98.7342,Normal value (A)
2017-10-31,98.9948,Normal value (A)
2017-10-30,98.9095,Normal value (A)
2017-10-29,-,Missing value; data cannot exist (M)
2017-10-28,-,Missing value; data cannot exist (M)
2017-10-27,99.1189,Normal value (A)
2017-10-26,99.7091,Normal value (A)
2017-10-25,99.8373,Normal value (A)
2017-10-24,99.6845,Normal value (A)
2017-10-23,99.5250,Normal value (A)
2017-10-22,-,Missing value; data cannot exist (M)
2017-10-21,-,Missing value; data cannot exist (M)
2017-10-20,99.8855,Normal value (A)
2017-10-19,99.9294,Normal value (A)
2017-10-18,99.4739,Normal value (A)
2017-10-17,99.3943,Normal value (A)
2017-10-16,99.4395,Normal value (A)
2017-10-15,-,Missing value; data cannot exist (M)
2017-10-14,-,Missing value; data cannot exist (M)
2017-10-13,99.6056,Normal value (A)
2017-10-12,100.0774,Normal value (A)
2017-10-11,99.8743,Normal value (A)
2017-10-10,99.6613,Normal value (A)
2017-10-09,99.6011,Normal value (A)
2017-10-08,-,Missing value; data cannot exist (M)
2017-10-07,-,Missing value; data cannot exist (M)
2017-10-06,99.5407,Normal value (A)
2017-10-05,99.5607,Normal value (A)
2017-10-04,99.6270,Normal value (A)
2017-10-03,99.6194,Normal value (A)
2017-10-02,99.5339,Normal value (A)
2017-10-01,-,Missing value; data cannot exist (M)
2017-09-30,-,Missing value; data cannot exist (M)
2017-09-29,99.7705,Normal value (A)
2017-09-28,99.5777,Normal value (A)
2017-09-27,99.3308,Normal value (A)
2017-09-26,99.4292,Normal value (A)
2017-09-25,99.7867,Normal value (A)
2017-09-24,-,Missing value; data cannot exist (M)
2017-09-23,-,Missing value; data cannot exist (M)
2017-09-22,100.1333,Normal value (A)
2017-09-21,99.9837,Normal value (A)
2017-09-20,100.3039,Normal value (A)
2017-09-19,100.2100,Normal value (A)
2017-09-18,99.9586,Normal value (A)
2017-09-17,-,Missing value; data cannot exist (M)
2017-09-16,-,Missing value; data cannot exist (M)
2017-09-15,99.8734,Normal value (A)
2017-09-14,99.7930,Normal value (A)
2017-09-13,100.2605,Normal value (A)
2017-09-12,99.9146,Normal value (A)
2017-09-11,100.2342,Normal value (A)
2017-09-10,-,Missing value; data cannot exist (M)
2017-09-09,-,Missing value; data cannot exist (M)
2017-09-08,100.3221,Normal value (A)
2017-09-07,100.1093,Normal value (A)
2017-09-06,100.0797,Normal value (A)
2017-09-05,100.0025,Normal value (A)
2017-09-04,100.0567,Normal value (A)
2017-09-03,-,Missing value; data cannot exist (M)
2017-09-02,-,Missing value; data cannot exist (M)
2017-09-01,100.2569,Normal value (A)
2017-08-31,100.0670,Normal value (A)
2017-08-30,100.4165,Normal value (A)
2017-08-29,101.0516,Normal value (A)
2017-08-28,100.4597,Normal value (A)
2017-08-27,-,Missing value; data cannot exist (M)
2017-08-26,-,Missing value; data cannot exist (M)
2017-08-25,100.0336,Normal value (A)
2017-08-24,100.0344,Normal value (A)
2017-08-23,100.0753,Normal value (A)
2017-08-22,99.8765,Normal value (A)
2017-08-21,99.7568,Normal value (A)
2017-08-20,-,Missing value; data cannot exist (M)
2017-08-19,-,Missing value; data cannot exist (M)
2017-08-18,99.6462,Normal value (A)
2017-08-17,99.4137,Normal value (A)
2017-08-16,99.6716,Normal value (A)
2017-08-15,99.8282,Normal value (A)
2017-08-14,99.9889,Normal value (A)
2017-08-13,-,Missing value; data cannot exist (M)
2017-08-12,-,Missing value; data cannot exist (M)
2017-08-11,99.7677,Normal value (A)
2017-08-10,99.5176,Normal value (A)
2017-08-09,99.5321,Normal value (A)
2017-08-08,100.0864,Normal value (A)
2017-08-07,100.0664,Normal value (A)
2017-08-06,-,Missing value; data cannot exist (M)
2017-08-05,-,Missing value; data cannot exist (M)
2017-08-04,100.2548,Normal value (A)
2017-08-03,100.2684,Normal value (A)
2017-08-02,99.9723,Normal value (A)
2017-08-01,99.8133,Normal value (A)
2017-07-31,99.3997,Normal value (A)
2017-07-30,-,Missing value; data cannot exist (M)
2017-07-29,-,Missing value; data cannot exist (M)
2017-07-28,99.5096,Normal value (A)
2017-07-27,99.1649,Normal value (A)
2017-07-26,99.0416,Normal value (A)
2017-07-25,99.1599,Normal value (A)
2017-07-24,98.8891,Normal value (A)
2017-07-23,-,Missing value; data cannot exist (M)
2017-07-22,-,Missing value; data cannot exist (M)
2017-07-21,99.0328,Normal value (A)
2017-07-20,98.1841,Normal value (A)
2017-07-19,98.2648,Normal value (A)
2017-07-18,98.4223,Normal value (A)
2017-07-17,97.9250,Normal value (A)
2017-07-16,-,Missing value; data cannot exist (M)
2017-07-15,-,Missing value; data cannot exist (M)
2017-07-14,97.9043,Normal value (A)
2017-07-13,98.0029,Normal value (A)
2017-07-12,98.4265,Normal value (A)
2017-07-11,98.2381,Normal value (A)
2017-07-10,98.1297,Normal value (A)
2017-07-09,-,Missing value; data cannot exist (M)
2017-07-08,-,Missing value; data cannot exist (M)
2017-07-07,98.2267,Normal value (A)
2017-07-06,98.0646,Normal value (A)
2017-07-05,97.7229,Normal value (A)
2017-07-04,97.8441,Normal value (A)
2017-07-03,97.8243,Normal value (A)
2017-07-02,-,Missing value; data cannot exist (M)
2017-07-01,-,Missing value; data cannot exist (M)
2017-06-30,97.9351,Normal value (A)
2017-06-29,98.1083,Normal value (A)
2017-06-28,98.0559,Normal value (A)
2017-06-27,97.5433,Normal value (A)
2017-06-26,97.0959,Normal value (A)
2017-06-25,-,Missing value; data cannot exist (M)
2017-06-24,-,Missing value; data cannot exist (M)
2017-06-23,97.0218,Normal value (A)
2017-06-22,97.1067,Normal value (A)
2017-06-21,96.9273,Normal value (A)
2017-06-20,96.9945,Normal value (A)
2017-06-19,96.9437,Normal value (A)
2017-06-18,-,Missing value; data cannot exist (M)
2017-06-17,-,Missing value; data cannot exist (M)
2017-06-16,96.8254,Normal value (A)
2017-06-15,96.7621,Normal value (A)
2017-06-14,96.8858,Normal value (A)
2017-06-13,96.9718,Normal value (A)
2017-06-12,97.1229,Normal value (A)
2017-06-11,-,Missing value; data cannot exist (M)
2017-06-10,-,Missing value; data cannot exist (M)
2017-06-09,96.7856,Normal value (A)
2017-06-08,96.9124,Normal value (A)
2017-06-07,96.8249,Normal value (A)
2017-06-06,97.0465,Normal value (A)
2017-06-05,97.0339,Normal value (A)
2017-06-04,-,Missing value; data cannot exist (M)
2017-06-03,-,Missing value; data cannot exist (M)
2017-06-02,97.0785,Normal value (A)
2017-06-01,97.0143,Normal value (A)
2017-05-31,97.0026,Normal value (A)
2017-05-30,96.8561,Normal value (A)
2017-05-29,96.9537,Normal value (A)
2017-05-28,-,Missing value; data cannot exist (M)
2017-05-27,-,Missing value; data cannot exist (M)
2017-05-26,96.9794,Normal value (A)
2017-05-25,96.9969,Normal value (A)
2017-05-24,96.9957,Normal value (A)
2017-05-23,97.0970,Normal value (A)
2017-05-22,97.2152,Normal value (A)
2017-05-21,-,Missing value; data cannot exist (M)
2017-05-20,-,Missing value; data cannot exist (M)
2017-05-19,96.8952,Normal value (A)
2017-05-18,96.6350,Normal value (A)
2017-05-17,96.5941,Normal value (A)
2017-05-16,96.4319,Normal value (A)
2017-05-15,95.8577,Normal value (A)
2017-05-14,-,Missing value; data cannot exist (M)
2017-05-13,-,Missing value; data cannot exist (M)
2017-05-12,95.5101,Normal value (A)
2017-05-11,95.4273,Normal value (A)
2017-05-10,95.4843,Normal value (A)
2017-05-09,95.5922,Normal value (A)
2017-05-08,95.6908,Normal value (A)
2017-05-07,-,Missing value; data cannot exist (M)
2017-05-06,-,Missing value; data cannot exist (M)
2017-05-05,95.8915,Normal value (A)
2017-05-04,95.6936,Normal value (A)
2017-05-03,95.4901,Normal value (A)
2017-05-02,95.5356,Normal value (A)
2017-05-01,-,Missing value; data cannot exist (M)
2017-04-30,-,Missing value; data cannot exist (M)
2017-04-29,-,Missing value; data cannot exist (M)
2017-04-28,95.5829,Normal value (A)
2017-04-27,95.3268,Normal value (A)
2017-04-26,95.4299,Normal value (A)
2017-04-25,95.3276,Normal value (A)
2017-04-24,95.0806,Normal value (A)
2017-04-23,-,Missing value; data cannot exist (M)
2017-04-22,-,Missing value; data cannot exist (M)
2017-04-21,94.2230,Normal value (A)
2017-04-20,94.4387,Normal value (A)
2017-04-19,94.1973,Normal value (A)
2017-04-18,94.1037,Normal value (A)
2017-04-17,-,Missing value; data cannot exist (M)
2017-04-16,-,Missing value; data cannot exist (M)
2017-04-15,-,Missing value; data cannot exist (M)
2017-04-14,-,Missing value; data cannot exist (M)
2017-04-13,93.9025,Normal value (A)
2017-04-12,93.8602,Normal value (A)
2017-04-11,94.0645,Normal value (A)
2017-04-10,93.8977,Normal value (A)
2017-04-09,-,Missing value; data cannot exist (M)
2017-04-08,-,Missing value; data cannot exist (M)
2017-04-07,94.1135,Normal value (A)
2017-04-06,94.3124,Normal value (A)
2017-04-05,94.3989,Normal value (A)
2017-04-04,94.2818,Normal value (A)
2017-04-03,94.1784,Normal value (A)
2017-04-02,-,Missing value; data cannot exist (M)
2017-04-01,-,Missing value; data cannot exist (M)
2017-03-31,94.3941,Normal value (A)
2017-03-30,94.6983,Normal value (A)
2017-03-29,94.8105,Normal value (A)
2017-03-28,95.2978,Normal value (A)
2017-03-27,95.4263,Normal value (A)
2017-03-26,-,Missing value; data cannot exist (M)
2017-03-25,-,Missing value; data cannot exist (M)
2017-03-24,95.1757,Normal value (A)
2017-03-23,94.9693,Normal value (A)
2017-03-22,95.2042,Normal value (A)
2017-03-21,95.1949,Normal value (A)
2017-03-20,95.0403,Normal value (A)
2017-03-19,-,Missing value; data cannot exist (M)
2017-03-18,-,Missing value; data cannot exist (M)
2017-03-17,95.0230,Normal value (A)
2017-03-16,94.9702,Normal value (A)
2017-03-15,94.7856,Normal value (A)
2017-03-14,94.9332,Normal value (A)
2017-03-13,95.0848,Normal value (A)
2017-03-12,-,Missing value; data cannot exist (M)
2017-03-11,-,Missing value; data cannot exist (M)
2017-03-10,94.8680,Normal value (A)
2017-03-09,94.4183,Normal value (A)
2017-03-08,94.3699,Normal value (A)
2017-03-07,94.3895,Normal value (A)
